collection,title,attachment_title,date,creators,attachment_item_id,attachment_item_key,attachment_content_type,storage_folder,file_name,extension,file_path,file_size_bytes,file_modified,is_primary_attachment
Hyperspectral Paper,Spectral Diversity as a Predictor of Tree Diversity: Exploring Challenges and Opportunities Across Forest Ecosystems,Full Text PDF,2024-12-31 2024-12-31,"Donnini, Jennifer; Kross, Angela; Alejo, Camilo",32,6KSFAIJL,application/pdf,C:\Users\PaintRock\Zotero\storage\6KSFAIJL,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\6KSFAIJL\.zotero-ft-cache,117441,2025-12-18T10:38:54,False
Hyperspectral Paper,Spectral Diversity as a Predictor of Tree Diversity: Exploring Challenges and Opportunities Across Forest Ecosystems,Full Text PDF,2024-12-31 2024-12-31,"Donnini, Jennifer; Kross, Angela; Alejo, Camilo",32,6KSFAIJL,application/pdf,C:\Users\PaintRock\Zotero\storage\6KSFAIJL,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\6KSFAIJL\.zotero-reader-state,79,2026-01-21T10:51:09,False
Hyperspectral Paper,Spectral Diversity as a Predictor of Tree Diversity: Exploring Challenges and Opportunities Across Forest Ecosystems,Full Text PDF,2024-12-31 2024-12-31,"Donnini, Jennifer; Kross, Angela; Alejo, Camilo",32,6KSFAIJL,application/pdf,C:\Users\PaintRock\Zotero\storage\6KSFAIJL,Donnini et al. - 2024 - Spectral Diversity as a Predictor of Tree Diversity Exploring Challenges and Opportunities Across F.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\6KSFAIJL\Donnini et al. - 2024 - Spectral Diversity as a Predictor of Tree Diversity Exploring Challenges and Opportunities Across F.pdf,6416889,2025-12-18T10:38:48,True
Hyperspectral Paper,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Full Text PDF,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",34,7TSGWA7F,application/pdf,C:\Users\PaintRock\Zotero\storage\7TSGWA7F,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\7TSGWA7F\.zotero-ft-cache,93306,2025-12-18T10:42:30,False
Hyperspectral Paper,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Full Text PDF,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",34,7TSGWA7F,application/pdf,C:\Users\PaintRock\Zotero\storage\7TSGWA7F,Blanchard et al. - 2024 - Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signa.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\7TSGWA7F\Blanchard et al. - 2024 - Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signa.pdf,2120969,2025-12-18T10:42:24,True
Hyperspectral Paper,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Snapshot,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",35,AUGMRCNT,text/html,C:\Users\PaintRock\Zotero\storage\AUGMRCNT,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\AUGMRCNT\.zotero-ft-cache,62904,2025-12-18T10:42:34,False
Hyperspectral Paper,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Snapshot,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",35,AUGMRCNT,text/html,C:\Users\PaintRock\Zotero\storage\AUGMRCNT,ajb2.html,.html,C:\Users\PaintRock\Zotero\storage\AUGMRCNT\ajb2.html,5047735,2025-12-18T10:42:29,True
Hyperspectral Paper,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Snapshot,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",37,9PIK666E,text/html,C:\Users\PaintRock\Zotero\storage\9PIK666E,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\9PIK666E\.zotero-ft-cache,92952,2026-01-12T11:46:13,False
Hyperspectral Paper,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Snapshot,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",37,9PIK666E,text/html,C:\Users\PaintRock\Zotero\storage\9PIK666E,S0034425724006084.html,.html,C:\Users\PaintRock\Zotero\storage\9PIK666E\S0034425724006084.html,3835529,2026-01-12T11:46:06,True
Hyperspectral Paper,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Full Text PDF,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",38,B4TZAFK6,application/pdf,C:\Users\PaintRock\Zotero\storage\B4TZAFK6,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\B4TZAFK6\.zotero-ft-cache,88115,2026-01-12T11:46:15,False
Hyperspectral Paper,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Full Text PDF,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",38,B4TZAFK6,application/pdf,C:\Users\PaintRock\Zotero\storage\B4TZAFK6,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\B4TZAFK6\.zotero-reader-state,79,2026-01-21T10:52:11,False
Hyperspectral Paper,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Full Text PDF,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",38,B4TZAFK6,application/pdf,C:\Users\PaintRock\Zotero\storage\B4TZAFK6,Villa et al. - 2025 - Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant commu.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\B4TZAFK6\Villa et al. - 2025 - Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant commu.pdf,13390601,2026-01-12T11:46:08,True
Hyperspectral Paper,"Phylogenetic Diversity and Conservation Evaluation: Perspectives on Multiple Values, Indices, and Scales of Application",PDF,2018-00-00 2018,"Scherson, Rosa A.; Faith, Daniel P; Faith, Daniel P.",39,Q9A6GAJR,application/pdf,C:\Users\PaintRock\Zotero\storage\Q9A6GAJR,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\Q9A6GAJR\.zotero-ft-cache,81471,2026-01-13T13:42:04,False
Hyperspectral Paper,"Phylogenetic Diversity and Conservation Evaluation: Perspectives on Multiple Values, Indices, and Scales of Application",PDF,2018-00-00 2018,"Scherson, Rosa A.; Faith, Daniel P; Faith, Daniel P.",39,Q9A6GAJR,application/pdf,C:\Users\PaintRock\Zotero\storage\Q9A6GAJR,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\Q9A6GAJR\.zotero-reader-state,79,2026-01-21T10:57:06,False
Hyperspectral Paper,"Phylogenetic Diversity and Conservation Evaluation: Perspectives on Multiple Values, Indices, and Scales of Application",PDF,2018-00-00 2018,"Scherson, Rosa A.; Faith, Daniel P; Faith, Daniel P.",39,Q9A6GAJR,application/pdf,C:\Users\PaintRock\Zotero\storage\Q9A6GAJR,"Faith - 2018 - Phylogenetic Diversity and Conservation Evaluation Perspectives on Multiple Values, Indices, and Sc.pdf",.pdf,"C:\Users\PaintRock\Zotero\storage\Q9A6GAJR\Faith - 2018 - Phylogenetic Diversity and Conservation Evaluation Perspectives on Multiple Values, Indices, and Sc.pdf",589939,2026-01-13T13:42:00,True
Hyperspectral Paper,Linking Leaf Spectra to the Plant Tree of Life,Full Text PDF,2020-00-00 2020,"Meireles, José Eduardo; O’Meara, Brian; Cavender-Bares, Jeannine; Cavender-Bares, Jeannine; Gamon, John A.; Townsend, Philip A.",42,EHI7KCMH,application/pdf,C:\Users\PaintRock\Zotero\storage\EHI7KCMH,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\EHI7KCMH\.zotero-ft-cache,42425,2026-01-20T09:32:51,False
Hyperspectral Paper,Linking Leaf Spectra to the Plant Tree of Life,Full Text PDF,2020-00-00 2020,"Meireles, José Eduardo; O’Meara, Brian; Cavender-Bares, Jeannine; Cavender-Bares, Jeannine; Gamon, John A.; Townsend, Philip A.",42,EHI7KCMH,application/pdf,C:\Users\PaintRock\Zotero\storage\EHI7KCMH,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\EHI7KCMH\.zotero-reader-state,79,2026-01-29T09:42:23,False
Hyperspectral Paper,Linking Leaf Spectra to the Plant Tree of Life,Full Text PDF,2020-00-00 2020,"Meireles, José Eduardo; O’Meara, Brian; Cavender-Bares, Jeannine; Cavender-Bares, Jeannine; Gamon, John A.; Townsend, Philip A.",42,EHI7KCMH,application/pdf,C:\Users\PaintRock\Zotero\storage\EHI7KCMH,Meireles et al. - 2020 - Linking Leaf Spectra to the Plant Tree of Life.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\EHI7KCMH\Meireles et al. - 2020 - Linking Leaf Spectra to the Plant Tree of Life.pdf,899271,2026-01-20T09:32:44,True
Hyperspectral Paper,Associations of Leaf Spectra with Genetic and Phylogenetic Variation in Oaks: Prospects for Remote Detection of Biodiversity,Full Text PDF,2016-03-08 2016-03-08,"Cavender-Bares, Jeannine; Meireles, Jose Eduardo; Couture, John J.; Kaproth, Matthew A.; Kingdon, Clayton C.; Singh, Aditya; Serbin, Shawn P.; Center, Alyson; Zuniga, Esau; Pilz, George; Townsend, Philip A.",44,2B33JT9I,application/pdf,C:\Users\PaintRock\Zotero\storage\2B33JT9I,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\2B33JT9I\.zotero-ft-cache,79514,2026-01-20T12:54:08,False
Hyperspectral Paper,Associations of Leaf Spectra with Genetic and Phylogenetic Variation in Oaks: Prospects for Remote Detection of Biodiversity,Full Text PDF,2016-03-08 2016-03-08,"Cavender-Bares, Jeannine; Meireles, Jose Eduardo; Couture, John J.; Kaproth, Matthew A.; Kingdon, Clayton C.; Singh, Aditya; Serbin, Shawn P.; Center, Alyson; Zuniga, Esau; Pilz, George; Townsend, Philip A.",44,2B33JT9I,application/pdf,C:\Users\PaintRock\Zotero\storage\2B33JT9I,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\2B33JT9I\.zotero-reader-state,78,2026-04-02T08:00:53,False
Hyperspectral Paper,Associations of Leaf Spectra with Genetic and Phylogenetic Variation in Oaks: Prospects for Remote Detection of Biodiversity,Full Text PDF,2016-03-08 2016-03-08,"Cavender-Bares, Jeannine; Meireles, Jose Eduardo; Couture, John J.; Kaproth, Matthew A.; Kingdon, Clayton C.; Singh, Aditya; Serbin, Shawn P.; Center, Alyson; Zuniga, Esau; Pilz, George; Townsend, Philip A.",44,2B33JT9I,application/pdf,C:\Users\PaintRock\Zotero\storage\2B33JT9I,Cavender-Bares et al. - 2016 - Associations of Leaf Spectra with Genetic and Phylogenetic Variation in Oaks Prospects for Remote D.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\2B33JT9I\Cavender-Bares et al. - 2016 - Associations of Leaf Spectra with Genetic and Phylogenetic Variation in Oaks Prospects for Remote D.pdf,3929586,2026-01-20T12:54:01,True
Hyperspectral Paper,Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales,Full Text PDF,2017-00-00 2017,"Cavender-Bares, Jeannine; Gamon, John A.; Hobbie, Sarah E.; Madritch, Michael D.; Meireles, José Eduardo; Schweiger, Anna K.; Townsend, Philip A.",46,7SN4KNCT,application/pdf,C:\Users\PaintRock\Zotero\storage\7SN4KNCT,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\7SN4KNCT\.zotero-ft-cache,20694,2026-01-20T12:55:05,False
Hyperspectral Paper,Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales,Full Text PDF,2017-00-00 2017,"Cavender-Bares, Jeannine; Gamon, John A.; Hobbie, Sarah E.; Madritch, Michael D.; Meireles, José Eduardo; Schweiger, Anna K.; Townsend, Philip A.",46,7SN4KNCT,application/pdf,C:\Users\PaintRock\Zotero\storage\7SN4KNCT,Cavender-Bares et al. - 2017 - Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\7SN4KNCT\Cavender-Bares et al. - 2017 - Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales.pdf,1146123,2026-01-20T12:54:59,True
Hyperspectral Paper,Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales,Snapshot,2017-00-00 2017,"Cavender-Bares, Jeannine; Gamon, John A.; Hobbie, Sarah E.; Madritch, Michael D.; Meireles, José Eduardo; Schweiger, Anna K.; Townsend, Philip A.",47,27DQL5LV,text/html,C:\Users\PaintRock\Zotero\storage\27DQL5LV,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\27DQL5LV\.zotero-ft-cache,14904,2026-01-20T12:55:21,False
Hyperspectral Paper,Harnessing plant spectra to integrate the biodiversity sciences across biological and spatial scales,Snapshot,2017-00-00 2017,"Cavender-Bares, Jeannine; Gamon, John A.; Hobbie, Sarah E.; Madritch, Michael D.; Meireles, José Eduardo; Schweiger, Anna K.; Townsend, Philip A.",47,27DQL5LV,text/html,C:\Users\PaintRock\Zotero\storage\27DQL5LV,ajb.html,.html,C:\Users\PaintRock\Zotero\storage\27DQL5LV\ajb.html,4948096,2026-01-20T12:55:15,True
Hyperspectral Paper,Linking aerial hyperspectral data to canopy tree biodiversity: An examination of the spectral variation hypothesis,Full Text PDF,2024-00-00 2024,"Crofts, Anna L.; Wallis, Christine I. B.; St-Jean, Sabine; Demers-Thibeault, Sabrina; Inamdar, Deep; Arroyo-Mora, J. Pablo; Kalacska, Margaret; Laliberté, Etienne; Vellend, Mark",51,IV5QYBGE,application/pdf,C:\Users\PaintRock\Zotero\storage\IV5QYBGE,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\IV5QYBGE\.zotero-ft-cache,112967,2026-02-04T11:43:38,False
Hyperspectral Paper,Linking aerial hyperspectral data to canopy tree biodiversity: An examination of the spectral variation hypothesis,Full Text PDF,2024-00-00 2024,"Crofts, Anna L.; Wallis, Christine I. B.; St-Jean, Sabine; Demers-Thibeault, Sabrina; Inamdar, Deep; Arroyo-Mora, J. Pablo; Kalacska, Margaret; Laliberté, Etienne; Vellend, Mark",51,IV5QYBGE,application/pdf,C:\Users\PaintRock\Zotero\storage\IV5QYBGE,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\IV5QYBGE\.zotero-reader-state,79,2026-04-15T15:49:51,False
Hyperspectral Paper,Linking aerial hyperspectral data to canopy tree biodiversity: An examination of the spectral variation hypothesis,Full Text PDF,2024-00-00 2024,"Crofts, Anna L.; Wallis, Christine I. B.; St-Jean, Sabine; Demers-Thibeault, Sabrina; Inamdar, Deep; Arroyo-Mora, J. Pablo; Kalacska, Margaret; Laliberté, Etienne; Vellend, Mark",51,IV5QYBGE,application/pdf,C:\Users\PaintRock\Zotero\storage\IV5QYBGE,Crofts et al. - 2024 - Linking aerial hyperspectral data to canopy tree biodiversity An examination of the spectral variat.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\IV5QYBGE\Crofts et al. - 2024 - Linking aerial hyperspectral data to canopy tree biodiversity An examination of the spectral variat.pdf,1463092,2026-02-04T11:43:30,True
Hyperspectral Paper,Linking aerial hyperspectral data to canopy tree biodiversity: An examination of the spectral variation hypothesis,Snapshot,2024-00-00 2024,"Crofts, Anna L.; Wallis, Christine I. B.; St-Jean, Sabine; Demers-Thibeault, Sabrina; Inamdar, Deep; Arroyo-Mora, J. Pablo; Kalacska, Margaret; Laliberté, Etienne; Vellend, Mark",52,ABK8B2E4,text/html,C:\Users\PaintRock\Zotero\storage\ABK8B2E4,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\ABK8B2E4\.zotero-ft-cache,82911,2026-02-04T11:43:41,False
Hyperspectral Paper,Linking aerial hyperspectral data to canopy tree biodiversity: An examination of the spectral variation hypothesis,Snapshot,2024-00-00 2024,"Crofts, Anna L.; Wallis, Christine I. B.; St-Jean, Sabine; Demers-Thibeault, Sabrina; Inamdar, Deep; Arroyo-Mora, J. Pablo; Kalacska, Margaret; Laliberté, Etienne; Vellend, Mark",52,ABK8B2E4,text/html,C:\Users\PaintRock\Zotero\storage\ABK8B2E4,ecm.html,.html,C:\Users\PaintRock\Zotero\storage\ABK8B2E4\ecm.html,4270370,2026-02-04T11:43:36,True
Hyperspectral Paper,Conservation evaluation and phylogenetic diversity,ScienceDirect Snapshot,1992-01-01 1992-01-01,"Faith, Daniel P.",54,YJDW4GJX,text/html,C:\Users\PaintRock\Zotero\storage\YJDW4GJX,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\YJDW4GJX\.zotero-ft-cache,4153,2026-02-10T13:20:23,False
Hyperspectral Paper,Conservation evaluation and phylogenetic diversity,ScienceDirect Snapshot,1992-01-01 1992-01-01,"Faith, Daniel P.",54,YJDW4GJX,text/html,C:\Users\PaintRock\Zotero\storage\YJDW4GJX,0006320792912013.html,.html,C:\Users\PaintRock\Zotero\storage\YJDW4GJX\0006320792912013.html,914148,2026-02-10T13:20:18,True
Hyperspectral Paper,Does phylogenetic distance aid in detecting environmental gradients related to species composition?,Full Text PDF,2011-00-00 2011,"Root, Heather T.; Nelson, Peter R.",56,4UKSRWTL,application/pdf,C:\Users\PaintRock\Zotero\storage\4UKSRWTL,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\4UKSRWTL\.zotero-ft-cache,27158,2026-03-11T13:01:13,False
Hyperspectral Paper,Does phylogenetic distance aid in detecting environmental gradients related to species composition?,Full Text PDF,2011-00-00 2011,"Root, Heather T.; Nelson, Peter R.",56,4UKSRWTL,application/pdf,C:\Users\PaintRock\Zotero\storage\4UKSRWTL,.zotero-reader-state,,C:\Users\PaintRock\Zotero\storage\4UKSRWTL\.zotero-reader-state,79,2026-04-15T15:49:43,False
Hyperspectral Paper,Does phylogenetic distance aid in detecting environmental gradients related to species composition?,Full Text PDF,2011-00-00 2011,"Root, Heather T.; Nelson, Peter R.",56,4UKSRWTL,application/pdf,C:\Users\PaintRock\Zotero\storage\4UKSRWTL,Root and Nelson - 2011 - Does phylogenetic distance aid in detecting environmental gradients related to species composition.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\4UKSRWTL\Root and Nelson - 2011 - Does phylogenetic distance aid in detecting environmental gradients related to species composition.pdf,175979,2026-03-11T13:01:06,True
Hyperspectral Paper,Does phylogenetic distance aid in detecting environmental gradients related to species composition?,Snapshot,2011-00-00 2011,"Root, Heather T.; Nelson, Peter R.",57,S6S72TP8,text/html,C:\Users\PaintRock\Zotero\storage\S6S72TP8,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\S6S72TP8\.zotero-ft-cache,22242,2026-03-11T13:01:17,False
Hyperspectral Paper,Does phylogenetic distance aid in detecting environmental gradients related to species composition?,Snapshot,2011-00-00 2011,"Root, Heather T.; Nelson, Peter R.",57,S6S72TP8,text/html,C:\Users\PaintRock\Zotero\storage\S6S72TP8,j.1654-1103.2011.01320.html,.html,C:\Users\PaintRock\Zotero\storage\S6S72TP8\j.1654-1103.2011.01320.html,3215696,2026-03-11T13:01:12,True
Hyperspectral Paper,From local spectral species to global spectral communities: a benchmark for ecosystem diversity estimate by remote sensing,Full Text PDF,2020-11-05 2020-11-05,"Rocchini, Duccio; Salvatori, Nicole; Beierkuhnlein, Carl; Chiarucci, Alessandro; Boissieu, Florian de; Förster, Michael; Garzon-Lopez, Carol X.; Gillespie, Thomas W.; Hauffe, Heidi C.; He, Kate S.; Kleinschmit, Birgit; Lenoir, Jonathan; Malavasi, Marco; Moudrý, Vítězslav; Nagendra, Harini; Payne, Davnah; Šímová, Petra; Torresani, Michele; Wegmann, Martin; Féret, Jean-Baptiste",59,8R8GCHGL,application/pdf,C:\Users\PaintRock\Zotero\storage\8R8GCHGL,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\8R8GCHGL\.zotero-ft-cache,72884,2026-03-18T10:47:10,False
Hyperspectral Paper,From local spectral species to global spectral communities: a benchmark for ecosystem diversity estimate by remote sensing,Full Text PDF,2020-11-05 2020-11-05,"Rocchini, Duccio; Salvatori, Nicole; Beierkuhnlein, Carl; Chiarucci, Alessandro; Boissieu, Florian de; Förster, Michael; Garzon-Lopez, Carol X.; Gillespie, Thomas W.; Hauffe, Heidi C.; He, Kate S.; Kleinschmit, Birgit; Lenoir, Jonathan; Malavasi, Marco; Moudrý, Vítězslav; Nagendra, Harini; Payne, Davnah; Šímová, Petra; Torresani, Michele; Wegmann, Martin; Féret, Jean-Baptiste",59,8R8GCHGL,application/pdf,C:\Users\PaintRock\Zotero\storage\8R8GCHGL,Rocchini et al. - 2020 - From local spectral species to global spectral communities a benchmark for ecosystem diversity esti.pdf,.pdf,C:\Users\PaintRock\Zotero\storage\8R8GCHGL\Rocchini et al. - 2020 - From local spectral species to global spectral communities a benchmark for ecosystem diversity esti.pdf,5729937,2026-03-18T10:47:04,True
Hyperspectral Paper,Scale dependence in remotely sensed biodiversity: Leveraging continental-scale imaging spectroscopy from the National Ecological Observatory Network,Full Text PDF,,"Hayden, Meghan T.; Rossi, Matthew W.; Dee, Laura E.; Kovach, Kyle; Amaral, Cibele H.; Nesslage, Jacob; Slimp, Madeline; Meyer, Rachel S.; Stavros, E. Natasha",61,QTY8BVGM,application/pdf,C:\Users\PaintRock\Zotero\storage\QTY8BVGM,.zotero-ft-cache,,C:\Users\PaintRock\Zotero\storage\QTY8BVGM\.zotero-ft-cache,85701,2026-04-02T08:01:07,False
